,ad,terkibi,hazirlanmasi,img_url,label,yemek_id
0,Balqabaqlı zəncəfilli smuzi, dilim balqabağı (Küp kəsilmiş)  zeytun yağıduİstiot şirniyyat qaşığı rəndələnmiş təzə zəncəfilTəzə kəklikotuİsti su və ya isti süd,"Sobanı 200 dərəcəyə yaxın qızdırın.Yağlı bir kağız sərilmiş qabın içinə soyub təmizlədiyiniz balqabağını, kəklikotunu,duz , istiot, zeytunyağını və rəndələnmiş zəncəfili də əlavə edib bişirin.Bütün ərzaqları da blenderə atın.İsti suyu və ya arzuya görə isti südu də əlavə edib duru bir qarışım alınana qədər çırpın.Hazır olan qarışımı şorba niyyətinə də istifadə edə bilərsiniz. Qonağınız gəldiyində isə kiçik su stəkanında ilıq olaraq servis edin.Nuş olsun!",http://dadli.az/uploads/posts/2020-02/1581538034_dadli.jpg,Sulu yemek,719442
1,Soyutma,"Qoyun əti -  kqKök -  Soğan -  Cəfəri, reyhan -  dəstəDuz, qara istiot","Qoyun əti, soğan və kökün üzərini tam örtənədək su tökürük. Ət tam hazır olana qədər qısıq atəşdə bişiririk. Arada köpüklərini alırıq ki, bulyon təmiz alınsın. Süzürük və ətin üzərinə tökürük (bulyon bir qədər az olmalıdır).Nar dənələrini üzərinə səpirik.Soyutmanın yanına çoxlu təzə göyərti veririk. Bu resepti kartofla, həmçinin pomidor və ya xama sousu ilə də tamamlamaq olar.Bu ətin tərkib hissəsi olan lesitin maddəsi bədəndə düzgün xolesterol mübadiləsini normallaşdırır. Buna görə qoyun əti çox vaxt bir çox pəhriz növlərinin bir hissəsidir. Bundan əlavə, bu ətin müntəzəm istifadəsi həzmə də müsbət təsir göstərir.Qoyun ətinin ziyanı başqa növ bir ətin ziyanından heç cür fərqlənmir. İstənilən ət növünün çox miqdarda qəbulu skleroz və piylənməyə gətirib çıxarır.Nuş olsun!",http://dadli.az/uploads/posts/2019-08/1565387692_dadli.jpg,Sulu yemek,325853
2,Naxçıvan mətbəxinin daş küftəsi,  ət- tikə quyruq  baş soğan-  noxud (suda isladılmış)-  düyü  yumurtananə qurusutərxun qurusureyhan qurusumərzə qurusualça turşusuduzistiotsarıçiçəktomat və ya pomidor,"Tikə əti 2 saat dayanmadan “ət daşı” adlanan xüsusi yasdı daşın üzərində ağac toxmaqla qiymə halına gələnədək döyün. Qiymə halına düşdükdə üzərinə isladılmış noxud, quyruq, soğan əlavə edib birlikdə döyün. Üzərinə göyərti qurusu ( nanə, mərzə, reyhan, şüyüd və tərxun qurusu) ovun və qarışdırın. Üzərinə yumru düyü, duz, istiot, sarıçiçək, yumurta və azca isti su əlavə edib əllə yaxşıca qarışdırın. Hazır qiyməni bir ovucun içərisinə sığacaq böyüklükdə kündələrə ayrın. Kündələrin içərisinə alça, gavalı və ya albuxara turşusu qoyub yuvarlayın. Bəzi hallarda isə duzlu yumurta qoyulur. Küftələri qaynar suya salıb bişirib çıxarın. Qazanda qaynayan suya duz, sarıçiçək və ya tomat vurub küftələri də içinə əlavə edib bişirin. Daş küftəsinə bəzi bölgələrdə kartof da vurulur.Nuş Olsun!",http://dadli.az/uploads/posts/2020-07/1595435457_kufte.jpg,Sulu yemek,866805
3,Balıq şorbası," am levrək balığı (dəniz bassı)  kərə yağıYarım kərəviz soğan kök  bibər diş sarımsaq  un stəkan suDuz, istiotŞüyüd","Kərəviz, soğan, sarımsaq və kökü rəndələyib, soğanı doğrayın. Daha sonra onları yağda qovurun və unu da ora töküb qovurmağa davam edin. Suyu əlavə edib 30 dəqiqə qaynadın. Balığı kiçik kvadratlar formasında doğrayıb, qazana tökün. Duz və istiotu da vuraraq, şorbanı 10 dəqiqə balıqla birlikdə qaynadın. Doğranmış bibər və şüyüdlə isti-isti servis edin.Nuş olsun!",http://dadli.az/uploads/posts/2020-10/1602087911_dadli4.jpg,Sulu yemek,369025
4,Əriştəli lobya şorbası,"Quzu və ya mal əti (döş) -  qGözlü xırda lobya -  stəkanEv əriştəsi -  ovucSoğan -  Kök -  Kartof -  Cəfəri, keşniş - hərəsindən yarım dəstəKərə yağı -  qDuz, istiot, sarıkök - zövqə görə","Bu yeməyi hazırlamağa axşamdan başlayırıq - lobyanı yuyuruq və gecə soyuq suda isladırıq. Ertəsi gün əti yuyuruq, dilimləyirik, soğanı nazik yarım üzük şəklində doğrayırıq. Qazanda yağı qızdırırıq və soğanı biraz qızardırıq. Daha sonra əti qoyuruq və arada qarışdıraraq bişiririk. Doğranmış kök və kartofu əlavə edirik və qarışdıraraq 10 dəqiqə daha bişiririk. İndi isə yuyulmuş lobyaları qatırıq.Ət, tərəvəz və lobyaya 3 litr qaynamış su tökürük. Qaynadırıq, kəfkir ilə köpüklərini alırıq və bişiririk. Bu vaxt içində ət və lobya artıq bişməlidir. Şorbamızı duzlayıb, istiotlayır və biraz sarıkök əlavə edirik. Əriştəni töküb, 5 dəqiqə daha bişiririk, qazı söndürürük, doğranmış göyərtini səpirik və qazanın qapağını bağlayırıq.Nuş olsun!",http://dadli.az/uploads/posts/2019-08/1565387462_dadli.jpg,Sulu yemek,707303
5,Uşaqlar üçün maraqlı  - Dovşan şəkilli şorba,  su  şəkər tozu  un  maya  duzÜstünü bəzəmək üçün:Quru üzümBonibonKürdan (diş çöpü) Xəmirin üstü üçün:  su-  duz,"İlıq suda şəkər tozu və mayanı əridin. Qabardıqdan sonra qalan məmulatlarla xəmiri hazırlayın. Xəmirin qapalı şəraitdə acımasını (gəlməsini) gözləyin. Xəmirin bir hissəsini böyük digər hissəsini balaca şəkildə bölün. Sonra hər birinə dairəvi forma verərək soba qabına düzün. 45 dəqiqə gözlədin. Sonra üzərini + şəklində kəskin bıçaqla cızın. Sonraxəmirin üstü üçün hazırladığımız suyu xəmirin üzərinə çəkin. 200 dərəcədə üstü qızarana qədər bişirin.Bişən çörəklərdən böyük olanının üstünü kəsib, içini bıçaqla boşaldaraq şorba qabı düzəldin. Balaca çörəyi isə ortadan iki yerə bölün, bıçaqla göz və burun oyun. Göz yerinə quru üzümləri, burun yerinə bonibon yerləşdirin. Bunu düzəltdiyimiz şorba qabına kürdan vasitəsilə sabitəyin yəni yerləşdirin. Qalan çörəklərdən qulaq düzəldə bilərsiz.Nuş olsun!
",http://dadli.az/uploads/posts/2020-11/1606128660_dadli1.jpg,Sulu yemek,296333
6,Dovğa, litr qatıq üçün l qatıq-  su/ stəkan yumru düyü  yumurta (hər litr üçün   hesablanır) dəstə nanə (orta ölçüdə) dəstə keşniş (orta ölçüdə) dəstə dağ keşnişi (orta ölçüdə) dəstə ispanaq (orta ölçüdə) dəstə şüyüd (orta ölçüdə),"Əvvəlcə göyərtilərimizi təmizləyib, yuyuruq. Suyu çəkildikdən sonra onları xırda-xırda doğrayırıq.Qatığı qazana tökürük. Qatıq qatı olduğuna görə ona su əlavə etmək lazımdır. Əgər sizin qatığınız çox duru olarsa, az miqdarda su əlavə edə bilərsiniz. Biz 3 litr qatıq üçün 600-700 qram su əlavə etdik. Su əlavə etdikdən sonra qatığı yaxşıca qarışdırın.Düyünü təmizləyib, yuyun. Suyunu süzdükdən sonra ora 3 ədəd yumurtanı əlavə edib qarışdırın. Bu qarışımı qatığa əlavə edib qaz sobasının üzərinə qoyun. Düyü bişənə qədər qarışdırın. Qarışdırmağı dayandırmayın. Əks halda qatığınız çürüyə bilər.Düyünün bişib bişmədiyini yoxlayın. Düyü bişdiysə artıq göylərimizi əlavə edə bilərik. Qarışdıra-qarışdıra göyləri əlavə edin. Göylərimiz bişənə kimi qarışdırmağa davam edirik.Dovğanı duzlamağa tələsməyin. İsti-isti duzlasanız dovğa çürüyə bilər. Dovğanı soyuduqdan sonra duzlamaq lazımdır.Nuş olsun!",http://dadli.az/uploads/posts/2020-10/1603537073_dadli7.jpg,Sulu yemek,614866
7,Piti, kasa üçün bizə lazım olacaq:Qoyun əti -  Soğan -  İri pomidor -  Heyva -  Noxud -  y.q.Nanə -  y.q.,"Duz, istiot, üyüdülməmiş qara istiot - zövqə görəNoxudu 10 saat əvvəldən suda islatmaq lazımdır. 10 saat sonra suyunu süzüb, noxudu yuyuruq. Əti çox da böyük olmayan dilimlərə bölürük, soğanı aypara şəklində, heyvanı kub şəklində doğrayırıq. Sobanı 190C-də qızdırırıq.Kasalara soğan, ət, heyva və noxudu qoyuruq. Şorba alınması üçün kasanı yarıya qədər doldururuq. Hər bir kasaya 1 stəkan qaynar su töküb, qapaqla örtür və 30 dəqiqəlik sobaya qoyuruq.30 dəqiqə sonra kasaları sobadan çıxarırıq, iri dilim doğranmış kartofları və kub doğranmış pomidorları əlavə edirik. Zövqə görə duz, istiot vururuq. 40 dəqiqə daha bişiririk.Şorba kasalarını sobadan çıxarır, doğranmış nanə və qara istiot əlavə edirik. Qapağı 3 dəqiqə bağlı saxlayırıq. Şorbanı süfrəyə lavaşla veririk.Nuş olsun!",http://dadli.az/uploads/posts/2019-08/1565386722_dadli.jpg,Sulu yemek,105333
8,Əsl kəllə-paça,•  mal (dana) ayağı•su•baş soğan•duz•yumru istiot•dəfnə yarpağı•sirkə-sarımsaq və ya abqora,"Malın ayaqlarını ocaqda ütüb, bıçaqla dırnaqlarını çıxarın, tüklərini təmizləyin.Təmizlənmiş ayaqları balta ilə 2 - 3 yerə bölün.Dırnaqların arasını yararaq orta hissəsində olan artıq hissəni kəsib atın.Daha sonra ayaqları isti su ilə yaxşıca yuyun. Böyük ölçülü bir qazana kəsilmiş ayaqları yığın və üzərinə su tökünSu ayaqların üzərini 15-20 sm örtməlidir. Qazanı zəif ocağa qoyun,vaxtaşırı kəfini yığın.Daha sonra su qaynamağa başladıqda, suyu boşlaldıb ayaqları bir daha yuyun. Qazana təmiz su töküb yuyulmuş ayaqları da əlavə edib zəif ocaqda gecədən səhərə kimi (ət sümükdən ayrılana qədər) bişirin.Bişən xaşın içinə baş soğan əlavə edin. Bişirilməyin sonuna yaxın duz, istiot dənəsi və dəfnə yarpağı tökün.Nuş olsun!",http://dadli.az/uploads/posts/2020-10/1602087754_dadli2.jpg,Sulu yemek,141398
9,Qədim yeməyimiz xaşlama," kq sümüklü ət (qoyun,quzu və ya mal) soğan  kartof-  bolqar bibəri-  pomidor  dəfnə yarpağı çimdik qırmızı acı bibər tozuduz, istiot","İlk öncə ətı doğrayıb yuyun. Yuyulub suyu süzülmüş ətləri qazana yığın. Üzərinə 3 stəkan qaynar su töküb ocağa qoyun. Bişdikdə üzərinə yığılan kəfi götürüb dəfnə yarpağı atın və ət yumşalana qədər bişirin. Bolqar bibərini doğrayın, kartofların qabığını soyub dilimləyin. Pomidoru da dilimləyin, soğanları da halqa formasında kəsin. Bişmiş ətlərin üzərinə doğranmış bolqar bibəri, kartof, pomidoru və soğanları əlavə edin. Duz, istiot, acı bibər tozu səpib qarışdırın. Qazanın qapağını örtüb kartoflar bişənədək vam odda bişirin. Yeməyin üzərinə doğranmış göyərti səpib süfrəyə verin.Nuş Olsun!",http://dadli.az/uploads/posts/2020-07/1595437084_xaslama.jpg,Sulu yemek,205912
